resID,resdn,count,sptl_unit,tsar_trty,geonm_crd,geonm_lat,geonm_long,geonm_url,cnfdnc,alt_tpnm,note
,Prenn,79,town,undetermined,-,-,-,undetermined,0,,
,Protracta,136,town,undetermined,-,-,-,undetermined,0,,
,Prussia,120,country,no,-,-,-,not applicable,3,,
,Russia,5771,country,yes,-,-,-,not applicable,3,RUSLAND,
,Sagarren,112,town,no,-,-,-,undetermined,0,,
,Selz,104,town,no,-,-,-,undetermined,1,,various locations
,Slobodka,124,town,yes,-,-,-,undetermined,1,,various locations
,Sulz,116,town,no,-,-,-,undetermined,0,,"various locations throughout Switzerland, Germany, Austria"
,Tauroggen,238,town,undetermined,-,-,-,undetermined,0,,
,USA,822,country,no,-,-,-,not applicable,3,,
,Vladislav,31,town,yes,-,-,-,undetermined,0,WLADISLAV,https://www.geonames.org/search.html?q=vladislav&country=
,Volga,20,river,yes,-,-,-,not applicable,3,,
,Wandsbeck,113,town,no,-,-,-,undetermined,0,,South Africa
,Wansau,81,town,undetermined,-,-,-,undetermined,1,,possibly Warsaw
,Wicklow,58,region,no,-,-,-,not applicable,3,NICKLOW,
,Wilkowisky,320,town,undetermined,-,-,-,undetermined,0,,
,Wilma,82,town,undetermined,-,-,-,undetermined,0,,https://www.geonames.org/search.html?q=wilma&country=
,Wolyn,59,region,yes,-,-,-,not applicable,3,,
,Zaslow,106,town,undetermined,-,-,-,undetermined,0,,
